"sfGFP_Sens_nM","mCherry_Sens_nM","S_cell_relationship"
229.7,196.59,"Non-neighbour"
150.43,129.99,"Non-neighbour"
103.2,114.25,"Non-neighbour"
193.25,211.58,"Non-neighbour"
46.63,75.76,"Non-neighbour"
156.75,171.32,"Non-neighbour"
77.12,73.72,"Non-neighbour"
213.69,175.66,"Non-neighbour"
235.12,150.29,"Non-neighbour"
40.61,45.26,"Non-neighbour"
50.31,90.33,"Non-neighbour"
53.5,33.76,"Non-neighbour"
70.99,35.84,"Non-neighbour"
99.01,48.36,"Non-neighbour"
106.24,57.02,"Non-neighbour"
92.65,80.13,"Non-neighbour"
65.52,79.16,"Non-neighbour"
74.92,129.77,"Non-neighbour"
31.04,44.57,"Neighbor"
53.01,67.75,"Neighbor"
17.28,46.91,"Neighbor"
108.34,114.63,"Neighbor"
58.44,67.53,"Neighbor"
58.15,78.82,"Neighbor"
58.34,77.61,"Neighbor"
106.37,105.14,"Neighbor"
114.55,121.28,"Neighbor"
51.11,40.81,"Neighbor"
77.4,105.34,"Neighbor"
75.46,91.68,"Neighbor"
16.56,32.59,"Neighbor"
13.74,43.46,"Neighbor"
45.65,44.55,"Neighbor"
39.37,46.63,"Neighbor"
22.01,38.32,"Neighbor"
30.72,40.54,"Neighbor"
39.65,46.58,"Neighbor"
9.1,26.42,"Neighbor"
12.49,28.3,"Neighbor"
12.08,19.2,"Neighbor"
86.53,113.25,"Neighbor"
53.76,64.75,"Neighbor"
36.85,57.69,"Neighbor"
82.38,71.7,"Neighbor"
97.03,63.75,"Neighbor"
39.42,49.03,"Neighbor"
38.43,53.65,"Neighbor"
32.21,71.08,"Neighbor"
34.12,67.18,"Neighbor"
63.01,83.43,"Neighbor"
90.97,98.63,"Neighbor"
59.11,80.38,"Neighbor"
37.27,87.51,"Neighbor"
19.51,65.3,"Neighbor"
31.72,39.58,"Neighbor"
40.73,61.41,"Neighbor"
